Outlet_ID,week,pid,no_units,area(sqft),volume,price,Month,total_sales,product_type,total_volume
ID6025,1,5,572.0,5479.0,0.2,100,1,57200.0,1,114.4
ID9440,1,5,592.0,4859.0,0.2,100,1,59200.0,1,118.4
ID9440,1,5,666.0,4859.0,0.2,100,1,66600.0,1,133.20000000000002
ID8194,1,5,379.0,4995.0,0.2,100,1,37900.0,1,75.8
ID2846,1,5,1124.0,3043.0,0.2,100,1,112400.0,1,224.8
ID8119,1,5,753.0,3905.0,0.2,100,1,75300.0,1,150.6
ID9823,1,5,130.0,4843.0,0.2,100,1,13000.0,1,26.0
ID8893,1,5,114.0,3301.0,0.2,100,1,11400.0,1,22.8
ID5021,1,5,877.0,3470.0,0.2,100,1,87700.0,1,175.4
ID8735,1,5,596.0,3933.0,0.2,100,1,59600.0,1,119.2
ID7332,1,5,882.0,4799.0,0.2,100,1,88200.0,1,176.4
ID6292,1,5,998.0,4278.0,0.2,100,1,99800.0,1,199.6
ID7462,1,5,117.0,5121.0,0.2,100,1,11700.0,1,23.4
ID5250,1,5,417.0,5033.0,0.2,100,1,41700.0,1,83.4
ID1997,1,5,686.0,4496.0,0.2,100,1,68600.0,1,137.20000000000002
ID3097,1,5,675.0,3627.0,0.2,100,1,67500.0,1,135.0
ID2499,1,5,727.0,5676.0,0.2,100,1,72700.0,1,145.4
ID1234,1,5,267.0,3999.0,0.2,100,1,26700.0,1,53.400000000000006
ID1008,1,5,416.0,3387.0,0.2,100,1,41600.0,1,83.2
ID9716,1,5,101.0,4088.0,0.2,100,1,10100.0,1,20.200000000000003
ID8619,1,5,975.0,5740.0,0.2,100,1,97500.0,1,195.0
ID1097,1,5,839.0,4175.0,0.2,100,1,83900.0,1,167.8
ID2819,1,5,857.0,3351.0,0.2,100,1,85700.0,1,171.4
ID6094,1,5,420.0,5661.0,0.2,100,1,42000.0,1,84.0
ID4003,1,5,593.0,3915.5,0.2,100,1,59300.0,1,118.6
ID1946,1,5,400.0,3563.0,0.2,100,1,40000.0,1,80.0
ID3425,1,5,575.0,3893.0,0.2,100,1,57500.0,1,115.0
ID3688,1,5,353.0,4030.0,0.2,100,1,35300.0,1,70.60000000000001
ID9010,1,5,339.0,3614.0,0.2,100,1,33900.0,1,67.8
ID8193,1,5,1188.0,5400.0,0.2,100,1,118800.0,1,237.6
ID2906,1,5,1068.0,3767.0,0.2,100,1,106800.0,1,213.6
ID4299,1,5,871.0,4009.0,0.2,100,1,87100.0,1,174.20000000000002
ID2142,1,5,100.0,3538.0,0.2,100,1,10000.0,1,20.0
ID1635,1,5,717.0,3465.0,0.2,100,1,71700.0,1,143.4
ID1732,1,5,883.0,4524.0,0.2,100,1,88300.0,1,176.60000000000002
ID7022,1,5,554.0,4020.0,0.2,100,1,55400.0,1,110.8
ID7466,1,5,738.0,5610.0,0.2,100,1,73800.0,1,147.6
ID6900,1,5,1155.0,5355.0,0.2,100,1,115500.0,1,231.0
ID6900,1,5,896.0,5355.0,0.2,100,1,89600.0,1,179.20000000000002
ID2957,1,5,755.0,3605.0,0.2,100,1,75500.0,1,151.0
ID7687,1,5,717.0,5475.0,0.2,100,1,71700.0,1,143.4
ID2481,1,5,313.0,3727.0,0.2,100,1,31300.0,1,62.6
ID1365,1,5,1078.0,3557.0,0.2,100,1,107800.0,1,215.6
ID9549,1,5,1042.0,3897.0,0.2,100,1,104200.0,1,208.4
ID7657,1,5,1069.0,4286.0,0.2,100,1,106900.0,1,213.8
ID5859,1,5,876.0,4786.0,0.2,100,1,87600.0,1,175.20000000000002
ID5859,1,5,1146.0,4786.0,0.2,100,1,114600.0,1,229.2
ID5152,1,5,657.0,4572.0,0.2,100,1,65700.0,1,131.4
ID6135,1,5,309.0,5069.0,0.2,100,1,30900.0,1,61.8
ID7260,1,5,722.0,4085.0,0.2,100,1,72200.0,1,144.4
ID4108,1,5,624.0,4232.0,0.2,100,1,62400.0,1,124.8
ID2263,1,5,643.0,5756.0,0.2,100,1,64300.0,1,128.6
ID9349,1,5,669.0,4175.0,0.2,100,1,66900.0,1,133.8
ID1520,1,5,917.0,4114.0,0.2,100,1,91700.0,1,183.4
ID3221,1,5,860.0,5774.0,0.2,100,1,86000.0,1,172.0
ID4752,1,5,673.0,5700.0,0.2,100,1,67300.0,1,134.6
ID8286,1,5,736.0,3314.0,0.2,100,1,73600.0,1,147.20000000000002
ID9062,1,5,511.0,5775.0,0.2,100,1,51100.0,1,102.2
ID2655,1,5,789.0,5692.0,0.2,100,1,78900.0,1,157.8
ID1859,1,5,100.0,4527.0,0.2,100,1,10000.0,1,20.0
ID5797,1,5,1123.0,5214.0,0.2,100,1,112300.0,1,224.6
ID6126,1,5,878.0,3959.0,0.2,100,1,87800.0,1,175.60000000000002
ID2716,1,5,904.0,3411.0,0.2,100,1,90400.0,1,180.8
ID6156,1,5,290.0,3147.0,0.2,100,1,29000.0,1,58.0
ID7050,1,5,836.0,5378.0,0.2,100,1,83600.0,1,167.20000000000002
ID7238,1,5,455.0,4995.0,0.2,100,1,45500.0,1,91.0
ID9331,1,5,721.0,5168.0,0.2,100,1,72100.0,1,144.20000000000002
ID8594,1,5,825.0,3416.0,0.2,100,1,82500.0,1,165.0
ID5134,1,5,141.0,5645.0,0.2,100,1,14100.0,1,28.200000000000003
ID8187,1,5,417.0,3666.0,0.2,100,1,41700.0,1,83.4
ID5643,1,5,939.0,3601.0,0.2,100,1,93900.0,1,187.8
ID7417,1,5,859.0,5533.0,0.2,100,1,85900.0,1,171.8
ID2110,1,5,1179.0,4486.0,0.2,100,1,117900.0,1,235.8
ID3420,1,5,1130.0,5423.0,0.2,100,1,113000.0,1,226.0
ID2276,1,5,993.0,4868.0,0.2,100,1,99300.0,1,198.6
ID9185,1,5,781.0,4537.0,0.2,100,1,78100.0,1,156.20000000000002
ID1696,1,5,534.0,3638.0,0.2,100,1,53400.0,1,106.8
ID8319,1,5,307.0,3709.0,0.2,100,1,30700.0,1,61.400000000000006
ID6766,1,5,385.0,3886.0,0.2,100,1,38500.0,1,77.0
ID4365,1,5,235.0,3934.0,0.2,100,1,23500.0,1,47.0
ID9727,1,5,322.0,5278.0,0.2,100,1,32200.0,1,64.4
ID7138,1,5,1164.0,3587.0,0.2,100,1,116400.0,1,232.8
ID4734,1,5,1072.0,5908.0,0.2,100,1,107200.0,1,214.4
ID1259,1,5,347.0,5698.0,0.2,100,1,34700.0,1,69.4
ID2126,1,5,903.0,3572.0,0.2,100,1,90300.0,1,180.6
ID6105,1,5,1053.0,5595.0,0.2,100,1,105300.0,1,210.6
ID1150,1,5,482.0,4605.0,0.2,100,1,48200.0,1,96.4
ID9355,1,5,548.0,5453.0,0.2,100,1,54800.0,1,109.6
ID4920,1,5,627.0,5777.0,0.2,100,1,62700.0,1,125.4
ID9971,1,5,335.0,3960.0,0.2,100,1,33500.0,1,67.0
ID7897,1,5,293.0,4780.0,0.2,100,1,29300.0,1,58.6
ID8025,1,5,292.0,5194.0,0.2,100,1,29200.0,1,58.400000000000006
ID5340,1,5,939.0,4340.0,0.2,100,1,93900.0,1,187.8
ID8419,1,5,717.0,4679.0,0.2,100,1,71700.0,1,143.4
ID6628,1,5,131.0,5885.5,0.2,100,1,13100.0,1,26.200000000000003
ID6628,1,5,159.0,5885.5,0.2,100,1,15900.0,1,31.8
ID6210,1,5,662.0,4591.0,0.2,100,1,66200.0,1,132.4
ID8996,1,5,1115.0,4164.0,0.2,100,1,111500.0,1,223.0
ID2562,1,5,371.0,5754.0,0.2,100,1,37100.0,1,74.2
ID2059,1,5,202.0,5832.0,0.2,100,1,20200.0,1,40.400000000000006
ID7681,1,5,494.0,4144.0,0.2,100,1,49400.0,1,98.8
ID9163,1,5,770.0,4632.0,0.2,100,1,77000.0,1,154.0
ID9131,1,5,600.0,3971.0,0.2,100,1,60000.0,1,120.0
ID6225,1,5,1057.0,5953.0,0.2,100,1,105700.0,1,211.4
ID5858,1,5,296.0,3677.0,0.2,100,1,29600.0,1,59.2
ID1083,1,5,661.0,3234.0,0.2,100,1,66100.0,1,132.20000000000002
ID2525,1,5,132.0,5871.0,0.2,100,1,13200.0,1,26.4
ID5499,1,5,1119.0,3800.0,0.2,100,1,111900.0,1,223.8
ID5606,1,5,556.0,4151.0,0.2,100,1,55600.0,1,111.2
ID9710,1,5,788.0,5461.0,0.2,100,1,78800.0,1,157.60000000000002
ID6167,1,5,925.0,3600.0,0.2,100,1,92500.0,1,185.0
ID3331,1,5,472.0,3913.0,0.2,100,1,47200.0,1,94.4
ID8071,1,5,589.0,645.0,0.2,100,1,58900.0,1,117.8
ID5229,1,5,439.0,1367.0,0.2,100,1,43900.0,1,87.80000000000001
ID4958,1,5,169.0,1357.0,0.2,100,1,16900.0,1,33.800000000000004
ID1860,1,5,264.0,481.0,0.2,100,1,26400.0,1,52.8
ID4394,1,5,425.0,123.0,0.2,100,1,42500.0,1,85.0
ID9347,1,5,662.0,505.0,0.2,100,1,66200.0,1,132.4
ID4281,1,5,692.0,349.0,0.2,100,1,69200.0,1,138.4
ID5099,1,5,597.0,1517.0,0.2,100,1,59700.0,1,119.4
ID2180,1,5,682.0,1766.0,0.2,100,1,68200.0,1,136.4
ID5825,1,5,453.0,1894.0,0.2,100,1,45300.0,1,90.6
ID5889,1,5,72.0,465.0,0.2,100,1,7200.0,1,14.4
ID3214,1,5,366.0,1553.0,0.2,100,1,36600.0,1,73.2
ID5436,1,5,164.0,1309.0,0.2,100,1,16400.0,1,32.800000000000004
ID8133,1,5,517.0,528.0,0.2,100,1,51700.0,1,103.4
ID4976,1,5,372.0,670.0,0.2,100,1,37200.0,1,74.4
ID1072,1,5,636.0,1721.0,0.2,100,1,63600.0,1,127.2
ID4214,1,5,640.0,864.0,0.2,100,1,64000.0,1,128.0
ID8292,1,5,259.0,1130.0,0.2,100,1,25900.0,1,51.8
ID9449,1,5,82.0,1795.0,0.2,100,1,8200.0,1,16.400000000000002
ID8354,1,5,298.0,542.0,0.2,100,1,29800.0,1,59.6
ID6408,1,5,553.0,509.0,0.2,100,1,55300.0,1,110.6
ID7472,1,5,392.0,264.0,0.2,100,1,39200.0,1,78.4
ID1893,1,5,220.0,1583.0,0.2,100,1,22000.0,1,44.0
ID4779,1,5,324.0,632.0,0.2,100,1,32400.0,1,64.8
ID9777,1,5,337.0,151.0,0.2,100,1,33700.0,1,67.4
ID6542,1,5,384.0,955.0,0.2,100,1,38400.0,1,76.80000000000001
ID9903,1,5,430.0,1272.0,0.2,100,1,43000.0,1,86.0
ID8060,1,5,204.0,394.0,0.2,100,1,20400.0,1,40.8
ID2054,1,5,96.0,1155.0,0.2,100,1,9600.0,1,19.200000000000003
ID4026,1,5,159.0,306.0,0.2,100,1,15900.0,1,31.8
ID6823,1,5,204.0,699.0,0.2,100,1,20400.0,1,40.8
ID1494,1,5,380.0,152.0,0.2,100,1,38000.0,1,76.0
ID2283,1,5,539.0,125.0,0.2,100,1,53900.0,1,107.8
ID8159,1,5,312.0,289.0,0.2,100,1,31200.0,1,62.400000000000006
ID5158,1,5,190.0,727.0,0.2,100,1,19000.0,1,38.0
ID3310,1,5,503.0,521.0,0.2,100,1,50300.0,1,100.6
ID6379,1,5,220.0,1601.0,0.2,100,1,22000.0,1,44.0
ID4367,1,5,298.0,895.0,0.2,100,1,29800.0,1,59.6
ID6708,1,5,226.0,3102.0,0.2,100,1,22600.0,1,45.2
ID6708,1,5,852.0,3102.0,0.2,100,1,85200.0,1,170.4
ID3127,1,5,578.0,2342.5,0.2,100,1,57800.0,1,115.6
ID3127,1,5,1042.0,2342.5,0.2,100,1,104200.0,1,208.4
ID7383,1,5,184.0,556.0,0.2,100,1,18400.0,1,36.8
ID1902,1,5,404.0,1388.0,0.2,100,1,40400.0,1,80.80000000000001
ID2944,1,5,158.0,1237.0,0.2,100,1,15800.0,1,31.6
ID8405,1,5,353.0,852.0,0.2,100,1,35300.0,1,70.60000000000001
ID5868,1,5,509.0,1683.0,0.2,100,1,50900.0,1,101.8
ID8213,1,5,460.0,1149.0,0.2,100,1,46000.0,1,92.0
ID6526,1,5,260.0,854.0,0.2,100,1,26000.0,1,52.0
ID7994,1,5,309.0,1524.0,0.2,100,1,30900.0,1,61.8
ID8399,1,5,84.0,268.0,0.2,100,1,8400.0,1,16.8
ID1763,1,5,307.0,329.0,0.2,100,1,30700.0,1,61.400000000000006
ID4434,1,5,257.0,471.0,0.2,100,1,25700.0,1,51.400000000000006
ID6214,1,5,290.0,2830.0,0.2,100,1,29000.0,1,58.0
ID6214,1,5,449.0,2830.0,0.2,100,1,44900.0,1,89.80000000000001
ID5518,1,5,454.0,1589.0,0.2,100,1,45400.0,1,90.8
ID5563,1,5,489.0,1594.0,0.2,100,1,48900.0,1,97.8
ID5971,1,5,430.0,1148.0,0.2,100,1,43000.0,1,86.0
ID9609,1,5,610.0,1162.0,0.2,100,1,61000.0,1,122.0
ID8654,1,5,254.0,287.0,0.2,100,1,25400.0,1,50.8
ID6611,1,5,184.0,503.0,0.2,100,1,18400.0,1,36.8
ID7422,1,5,889.0,1643.5,0.2,100,1,88900.0,1,177.8
ID5306,1,5,379.0,433.0,0.2,100,1,37900.0,1,75.8
ID7212,1,5,669.0,1554.0,0.2,100,1,66900.0,1,133.8
ID6289,1,5,548.0,1838.0,0.2,100,1,54800.0,1,109.6
ID4520,1,5,264.0,5736.0,0.2,100,1,26400.0,1,52.8
ID6574,1,5,583.0,6210.0,0.2,100,1,58300.0,1,116.6
ID4015,1,5,194.0,7786.5,0.2,100,1,19400.0,1,38.8
ID4015,1,5,940.0,7786.5,0.2,100,1,94000.0,1,188.0
ID1485,1,5,325.0,7009.0,0.2,100,1,32500.0,1,65.0
ID3741,1,5,517.0,4349.0,0.2,100,1,51700.0,1,103.4
ID9672,1,5,213.0,7565.5,0.2,100,1,21300.0,1,42.6
ID1750,1,5,753.0,4920.5,0.2,100,1,75300.0,1,150.6
ID8564,1,5,708.0,4223.0,0.2,100,1,70800.0,1,141.6
ID1429,1,5,160.0,2077.0,0.2,100,1,16000.0,1,32.0
ID1543,1,5,1154.0,4363.0,0.2,100,1,115400.0,1,230.8
ID9841,1,5,96.0,1378.5,0.2,100,1,9600.0,1,19.200000000000003
ID9465,1,5,1013.0,4116.5,0.2,100,1,101300.0,1,202.6
ID2077,1,5,635.0,6561.0,0.2,100,1,63500.0,1,127.0
ID4158,1,5,495.0,7058.0,0.2,100,1,49500.0,1,99.0
ID6886,1,5,220.0,8650.0,0.2,100,1,22000.0,1,44.0
ID3871,1,5,1097.0,8529.0,0.2,100,1,109700.0,1,219.4
ID1808,1,5,1043.0,8895.0,0.2,100,1,104300.0,1,208.6
ID3376,1,5,1012.0,7751.0,0.2,100,1,101200.0,1,202.4
ID5770,1,5,552.0,6192.0,0.2,100,1,55200.0,1,110.4
ID4587,1,5,902.0,4762.0,0.2,100,1,90200.0,1,180.4
ID1443,1,5,374.0,7264.0,0.2,100,1,37400.0,1,74.8
ID8689,1,5,965.0,4162.0,0.2,100,1,96500.0,1,193.0
ID6976,1,5,1160.0,7091.0,0.2,100,1,116000.0,1,232.0
ID9335,1,5,745.0,5178.0,0.2,100,1,74500.0,1,149.0
ID8750,1,5,464.0,6993.0,0.2,100,1,46400.0,1,92.8
ID6089,1,5,603.0,5234.0,0.2,100,1,60300.0,1,120.6
ID2112,1,5,134.0,6875.0,0.2,100,1,13400.0,1,26.8
ID3236,1,5,427.0,6626.0,0.2,100,1,42700.0,1,85.4
ID7167,1,5,408.0,9832.0,0.2,100,1,40800.0,1,81.60000000000001
ID7392,1,5,177.0,3432.0,0.2,100,1,17700.0,1,35.4
ID6385,1,5,1142.0,8999.0,0.2,100,1,114200.0,1,228.4
ID7769,1,5,1119.0,8495.0,0.2,100,1,111900.0,1,223.8
ID6558,1,5,338.0,7864.0,0.2,100,1,33800.0,1,67.60000000000001
ID9229,1,5,1453.0,4031.0,0.2,100,1,145300.0,1,290.6
ID2729,1,5,1265.0,9199.0,0.2,100,1,126500.0,1,253.0
ID9585,1,5,1266.0,5795.0,0.2,100,1,126600.0,1,253.2
ID7380,1,5,723.0,3159.0,0.2,100,1,72300.0,1,144.6
ID7388,1,5,657.0,6729.0,0.2,100,1,65700.0,1,131.4
ID9973,1,5,339.0,4038.0,0.2,100,1,33900.0,1,67.8
ID5062,1,5,952.0,9884.0,0.2,100,1,95200.0,1,190.4
ID7881,1,5,998.0,3187.0,0.2,100,1,99800.0,1,199.6
ID8909,1,5,1124.0,5419.0,0.2,100,1,112400.0,1,224.8
ID6805,1,5,1219.0,4434.0,0.2,100,1,121900.0,1,243.8
ID7381,1,5,817.0,9104.0,0.2,100,1,81700.0,1,163.4
ID4487,1,5,357.0,5900.0,0.2,100,1,35700.0,1,71.4
ID3652,1,5,1320.0,3672.0,0.2,100,1,132000.0,1,264.0
ID1811,1,5,951.0,9058.0,0.2,100,1,95100.0,1,190.2
ID9876,1,5,377.0,8339.0,0.2,100,1,37700.0,1,75.4
ID9061,1,5,731.0,5080.0,0.2,100,1,73100.0,1,146.20000000000002
ID7945,1,5,562.0,7728.0,0.2,100,1,56200.0,1,112.4
ID6307,1,5,1311.0,5882.0,0.2,100,1,131100.0,1,262.2
ID7029,1,5,774.0,3479.0,0.2,100,1,77400.0,1,154.8
ID4041,1,5,744.0,9276.0,0.2,100,1,74400.0,1,148.8
ID8145,1,5,1213.0,3022.0,0.2,100,1,121300.0,1,242.6
ID4065,1,5,928.0,3181.0,0.2,100,1,92800.0,1,185.6
ID9431,1,5,480.0,7876.0,0.2,100,1,48000.0,1,96.0
ID6296,1,5,1430.0,7871.0,0.2,100,1,143000.0,1,286.0
ID9303,1,5,733.0,5670.0,0.2,100,1,73300.0,1,146.6
ID8279,1,5,1378.0,9682.0,0.2,100,1,137800.0,1,275.6
ID9035,1,5,1037.0,6610.0,0.2,100,1,103700.0,1,207.4
ID6564,1,5,1303.0,6151.0,0.2,100,1,130300.0,1,260.6
ID6602,1,5,172.0,7141.0,0.2,100,1,17200.0,1,34.4
ID6983,1,5,624.0,4685.0,0.2,100,1,62400.0,1,124.8
ID1772,1,5,754.0,9950.0,0.2,100,1,75400.0,1,150.8
ID7820,1,5,776.0,4619.0,0.2,100,1,77600.0,1,155.20000000000002
ID7377,1,5,591.0,4505.0,0.2,100,1,59100.0,1,118.2
ID9783,1,5,1313.0,5445.0,0.2,100,1,131300.0,1,262.6
ID4230,1,5,1182.0,3957.0,0.2,100,1,118200.0,1,236.4
ID1093,1,5,748.0,8860.0,0.2,100,1,74800.0,1,149.6
ID4606,1,5,765.0,7528.0,0.2,100,1,76500.0,1,153.0
ID6031,1,5,1480.0,4802.0,0.2,100,1,148000.0,1,296.0
ID8648,1,5,380.0,5258.0,0.2,100,1,38000.0,1,76.0
ID2670,1,5,1484.0,3801.0,0.2,100,1,148400.0,1,296.8
ID8786,1,5,934.0,7950.0,0.2,100,1,93400.0,1,186.8
ID1279,1,5,573.0,5486.0,0.2,100,1,57300.0,1,114.6
ID6046,1,5,143.0,4654.0,0.2,100,1,14300.0,1,28.6
ID8900,1,5,121.0,8172.0,0.2,100,1,12100.0,1,24.200000000000003
ID7690,1,5,848.0,3010.0,0.2,100,1,84800.0,1,169.60000000000002
ID2390,1,5,542.0,3312.0,0.2,100,1,54200.0,1,108.4
ID9160,1,5,608.0,6210.0,0.2,100,1,60800.0,1,121.6
ID5121,1,5,1400.0,5515.0,0.2,100,1,140000.0,1,280.0
ID6510,1,5,317.0,3878.0,0.2,100,1,31700.0,1,63.400000000000006
ID7374,1,5,753.0,3507.0,0.2,100,1,75300.0,1,150.6
ID5426,1,5,212.0,8647.0,0.2,100,1,21200.0,1,42.400000000000006
ID3866,1,5,1284.0,9099.0,0.2,100,1,128400.0,1,256.8
ID7369,1,5,691.0,9177.0,0.2,100,1,69100.0,1,138.20000000000002
ID4159,1,5,886.0,4762.0,0.2,100,1,88600.0,1,177.20000000000002
ID8330,1,5,1471.0,6720.0,0.2,100,1,147100.0,1,294.2
ID8246,1,5,200.0,3724.0,0.2,100,1,20000.0,1,40.0
ID2798,1,5,1180.0,5232.0,0.2,100,1,118000.0,1,236.0
ID5248,1,5,1169.0,5877.0,0.2,100,1,116900.0,1,233.8
ID7071,1,5,1374.0,4946.0,0.2,100,1,137400.0,1,274.8
ID6487,1,5,265.0,4687.0,0.2,100,1,26500.0,1,53.0
ID7574,1,5,915.0,4501.0,0.2,100,1,91500.0,1,183.0
ID3142,1,5,357.0,8429.0,0.2,100,1,35700.0,1,71.4
ID4601,1,5,1469.0,6096.0,0.2,100,1,146900.0,1,293.8
ID4284,1,5,1439.0,6693.0,0.2,100,1,143900.0,1,287.8
ID4172,1,5,1317.0,7065.0,0.2,100,1,131700.0,1,263.40000000000003
ID8417,1,5,181.0,3415.0,0.2,100,1,18100.0,1,36.2
ID9685,1,5,1208.0,3487.0,0.2,100,1,120800.0,1,241.6
ID9541,1,5,816.0,3771.0,0.2,100,1,81600.0,1,163.20000000000002
ID9541,1,5,687.0,3771.0,0.2,100,1,68700.0,1,137.4
ID3181,1,5,205.0,9345.0,0.2,100,1,20500.0,1,41.0
ID6967,1,5,1360.0,6219.0,0.2,100,1,136000.0,1,272.0
ID9568,1,5,1208.0,7978.0,0.2,100,1,120800.0,1,241.6
ID3689,1,5,687.0,7432.0,0.2,100,1,68700.0,1,137.4
ID4865,1,5,263.0,6572.0,0.2,100,1,26300.0,1,52.6
ID5287,1,5,677.0,7187.0,0.2,100,1,67700.0,1,135.4
ID1479,1,5,897.0,3680.0,0.2,100,1,89700.0,1,179.4
ID6304,1,5,732.0,8454.0,0.2,100,1,73200.0,1,146.4
ID2367,1,5,162.0,7253.0,0.2,100,1,16200.0,1,32.4
ID8784,1,5,1409.0,4828.0,0.2,100,1,140900.0,1,281.8
ID1795,1,5,1482.0,9296.0,0.2,100,1,148200.0,1,296.40000000000003
ID7192,1,5,631.0,3297.0,0.2,100,1,63100.0,1,126.2
ID3386,1,5,258.0,3837.0,0.2,100,1,25800.0,1,51.6
ID2074,1,5,1422.0,3582.0,0.2,100,1,142200.0,1,284.40000000000003
ID2074,1,5,450.0,3582.0,0.2,100,1,45000.0,1,90.0
ID3458,1,5,312.0,8811.0,0.2,100,1,31200.0,1,62.400000000000006
ID9807,1,5,613.0,9730.0,0.2,100,1,61300.0,1,122.6
ID1484,1,5,1170.0,6129.0,0.2,100,1,117000.0,1,234.0
ID6927,1,5,815.0,7214.0,0.2,100,1,81500.0,1,163.0
ID1764,1,5,1429.0,9126.0,0.2,100,1,142900.0,1,285.8
ID3881,1,5,1039.0,6122.0,0.2,100,1,103900.0,1,207.8
ID5899,1,5,1126.0,5384.0,0.2,100,1,112600.0,1,225.2
ID3935,1,5,143.0,7540.0,0.2,100,1,14300.0,1,28.6
ID3739,1,5,218.0,3753.0,0.2,100,1,21800.0,1,43.6
ID7948,1,5,493.0,5516.0,0.2,100,1,49300.0,1,98.6
ID7948,1,5,73.0,5516.0,0.2,100,1,7300.0,1,14.6
ID3999,1,5,793.0,8513.0,0.2,100,1,79300.0,1,158.60000000000002
ID6459,1,5,870.0,7748.0,0.2,100,1,87000.0,1,174.0
ID1886,1,5,373.0,8717.0,0.2,100,1,37300.0,1,74.60000000000001
ID6357,1,5,1496.0,6041.0,0.2,100,1,149600.0,1,299.2
ID5662,1,5,782.0,8392.0,0.2,100,1,78200.0,1,156.4
ID2521,1,5,271.0,6157.0,0.2,100,1,27100.0,1,54.2
ID1193,1,5,1171.0,3871.0,0.2,100,1,117100.0,1,234.2
ID2156,1,5,1262.0,8451.0,0.2,100,1,126200.0,1,252.4
ID8908,1,5,548.0,4057.0,0.2,100,1,54800.0,1,109.6
ID5839,1,5,981.0,9051.0,0.2,100,1,98100.0,1,196.2
ID8854,1,5,1300.0,6512.0,0.2,100,1,130000.0,1,260.0
